Name = FX 60-100
Mach = 0; Re = 100000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 0; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
Éø	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[Åã]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-84.0	-0.016	3.27169	-0.056	0.519	0.005	0.569	0.018	-0.005	10.660	-3.206
-83.0	-0.016	2.57747	-0.055	0.518	0.005	0.565	0.018	-0.006	8.411	-3.156
-82.0	-0.016	2.58316	-0.054	0.517	0.005	0.561	0.018	-0.006	6.946	-3.103
-81.0	-0.016	2.59030	-0.054	0.516	0.005	0.556	0.018	-0.006	6.624	-3.048
-80.0	-0.016	2.52967	-0.053	0.515	0.005	0.552	0.017	-0.007	5.708	-2.982
-79.0	-0.017	2.53892	-0.053	0.514	0.005	0.548	0.017	-0.007	4.509	-2.922
-78.0	-0.017	2.54962	-0.052	0.513	0.005	0.545	0.017	-0.007	4.466	-2.859
-77.0	-0.017	3.08534	-0.051	0.512	0.005	0.541	0.017	-0.005	2.904	-2.788
-76.0	-0.017	2.51610	-0.051	0.511	0.005	0.537	0.018	-0.007	2.614	-2.743
-75.0	-0.017	2.46364	-0.050	0.510	0.005	0.534	0.018	-0.007	3.261	-2.668
-74.0	-0.017	2.08295	-0.050	0.509	0.005	0.531	0.018	-0.008	2.939	-2.600
-73.0	-0.018	2.04075	-0.049	0.507	0.005	0.529	0.017	-0.009	2.942	-2.524
-72.0	-0.018	2.54302	-0.048	0.506	0.005	0.526	0.017	-0.007	2.709	-2.446
-71.0	-0.018	2.50625	-0.048	0.505	0.005	0.524	0.017	-0.007	2.488	-2.369
-70.0	-0.019	2.46381	-0.047	0.504	0.005	0.521	0.017	-0.008	2.289	-2.290
-69.0	-0.019	2.42502	-0.047	0.503	0.005	0.519	0.017	-0.008	2.119	-2.212
-68.0	-0.019	2.38948	-0.046	0.501	0.005	0.517	0.016	-0.008	1.359	-2.133
-67.0	-0.020	2.40573	-0.046	0.500	0.005	0.514	0.017	-0.008	1.417	-2.077
-66.0	-0.020	2.29640	-0.045	0.500	0.005	0.511	0.017	-0.009	1.853	-1.992
-65.0	-0.021	2.27388	-0.044	0.500	0.005	0.508	0.016	-0.009	1.596	-1.913
-64.0	-0.021	2.25462	-0.044	0.500	0.005	0.505	0.016	-0.009	1.599	-1.834
-63.0	-0.021	2.15683	-0.043	0.500	0.005	0.502	0.016	-0.010	1.473	-1.751
-62.0	-0.022	2.13569	-0.042	0.500	0.005	0.500	0.016	-0.010	0.938	-1.675
-61.0	-0.023	2.09721	-0.042	0.500	0.005	0.500	0.016	-0.011	0.937	-1.615
-60.0	-0.023	2.01756	-0.042	0.500	0.005	0.500	0.016	-0.012	1.129	-1.537
-59.0	-0.024	2.01443	-0.041	0.500	0.005	0.500	0.015	-0.012	1.055	-1.465
-58.0	-0.025	1.93555	-0.040	0.500	0.005	0.500	0.015	-0.013	0.768	-1.389
-57.0	-0.025	1.90965	-0.040	0.500	0.005	0.500	0.015	-0.013	0.715	-1.331
-56.0	-0.026	1.83049	-0.040	0.500	0.005	0.500	0.015	-0.014	0.921	-1.258
-55.0	-0.027	1.76701	-0.039	0.500	0.005	0.500	0.015	-0.015	0.864	-1.187
-54.0	-0.028	1.70593	-0.039	0.500	0.005	0.500	0.014	-0.017	0.810	-1.117
-53.0	-0.029	1.64284	-0.038	0.500	0.005	0.500	0.014	-0.018	0.552	-1.049
-52.0	-0.030	1.62745	-0.038	0.500	0.004	0.500	0.014	-0.019	0.518	-0.997
-51.0	-0.032	1.57264	-0.037	0.500	0.004	0.500	0.014	-0.020	0.666	-0.932
-50.0	-0.033	1.51395	-0.037	0.500	0.004	0.500	0.013	-0.022	0.543	-0.869
-49.0	-0.034	1.42273	-0.037	0.500	0.004	0.500	0.013	-0.024	0.512	-0.814
-48.0	-0.036	1.37420	-0.036	0.500	0.004	0.500	0.013	-0.026	-0.971	-0.755
-47.0	-0.038	1.77389	-0.040	0.899	0.004	0.908	0.013	-0.021	-0.869	-0.828
-46.0	-0.039	1.69168	-0.040	0.899	0.004	0.909	0.013	-0.023	0.558	-0.765
-45.0	-0.041	1.49817	-0.039	0.899	0.004	0.910	0.012	-0.028	0.397	-0.701
-44.0	-0.043	1.44921	-0.039	0.899	0.004	0.910	0.012	-0.030	0.378	-0.655
-43.0	-0.046	1.29779	-0.039	0.899	0.004	0.911	0.012	-0.035	0.415	-0.596
-42.0	-0.048	1.23409	-0.039	0.900	0.004	0.912	0.012	-0.039	0.370	-0.548
-41.0	-0.051	1.14905	-0.038	0.900	0.004	0.912	0.011	-0.044	0.353	-0.496
-40.0	-0.054	1.07815	-0.038	0.900	0.003	0.913	0.011	-0.050	0.340	-0.451
-39.0	-0.057	0.99296	-0.038	0.899	0.003	0.914	0.011	-0.058	0.389	-0.404
-38.0	-0.061	0.93994	-0.037	0.899	0.003	0.915	0.010	-0.065	0.316	-0.356
-37.0	-0.065	0.89272	-0.037	0.899	0.003	0.916	0.011	-0.073	0.307	-0.319
-36.0	-0.069	0.82971	-0.036	0.899	0.003	0.916	0.010	-0.084	0.298	-0.275
-35.0	-0.074	0.78521	-0.037	0.899	0.003	0.916	0.010	-0.095	0.306	-0.242
-34.0	-0.080	1.03660	-0.036	0.899	0.003	0.917	0.009	-0.077	0.310	-0.200
-33.0	-0.086	0.96084	-0.036	0.899	0.003	0.917	0.009	-0.089	0.290	-0.169
-32.0	-0.092	0.89077	-0.035	0.899	0.003	0.917	0.009	-0.104	0.295	-0.133
-31.0	-0.100	0.83417	-0.035	0.899	0.003	0.918	0.009	-0.120	0.291	-0.103
-30.0	-0.108	0.77228	-0.035	0.899	0.003	0.918	0.008	-0.140	0.275	-0.072
-29.0	-0.117	0.71842	-0.035	0.899	0.002	0.919	0.008	-0.163	0.273	-0.047
-28.0	-0.128	0.66073	-0.034	0.898	0.002	0.919	0.007	-0.193	0.269	-0.019
-27.0	-0.139	0.59740	-0.034	0.898	0.002	0.919	0.007	-0.233	0.275	0.003
-26.0	-0.152	0.53932	-0.034	0.898	0.002	0.919	0.007	-0.282	0.264	0.028
-25.0	-0.167	0.49390	-0.034	0.897	0.002	0.920	0.007	-0.338	0.263	0.046
-24.0	-0.183	0.45055	-0.033	0.897	0.002	0.920	0.006	-0.406	0.267	0.068
-23.0	-0.201	0.39663	-0.033	0.895	0.002	0.921	0.006	-0.508	0.243	0.084
-22.0	-0.222	0.36533	-0.034	0.893	0.002	0.922	0.006	-0.607	0.264	0.099
-21.0	-0.244	0.31989	-0.033	0.891	0.002	0.923	0.005	-0.764	0.262	0.116
-20.0	-0.269	0.28988	-0.033	0.888	0.002	0.924	0.005	-0.928	0.258	0.127
-19.0	-0.296	0.26526	-0.032	0.886	0.002	0.925	0.005	-1.116	0.262	0.141
-18.0	-0.325	0.23521	-0.032	0.883	0.002	0.926	0.004	-1.380	0.253	0.150
-17.0	-0.354	0.35509	-0.032	0.879	0.001	0.927	0.004	-0.997	0.252	0.159
-16.0	-0.378	0.28304	-0.032	0.876	0.002	0.929	0.004	-1.334	0.259	0.165
-15.0	-0.396	0.24383	-0.032	0.870	0.002	0.931	0.004	-1.625	0.253	0.170
-14.0	-0.410	0.20221	-0.032	0.864	0.002	0.934	0.004	-2.028	0.226	0.172
-13.0	-0.417	0.16612	-0.032	0.858	0.002	0.935	0.004	-2.509	0.280	0.172
-12.0	-0.414	0.14104	-0.032	0.849	0.002	0.937	0.003	-2.936	0.228	0.173
-11.0	-0.397	0.11634	-0.032	0.836	0.002	0.940	0.003	-3.413	0.255	0.170
-10.0	-0.365	0.09746	-0.032	0.824	0.002	0.943	0.003	-3.742	0.253	0.162
